,Weight_image1,Best_objective_value,Observed
87,0.9222665623120255,0.3840306018187166,interpolated
88,0.9575436617456797,0.4148267087814377,interpolated
89,0.9735915144843518,0.41624087704800444,interpolated
90,0.995290299650306,0.3485865199579412,interpolated
91,0.9502256119539749,0.3607175935321235,interpolated
92,0.5,,observed
93,0.9392950475695393,0.480989474760627,interpolated
94,0.733295049448596,0.3541348760143063,interpolated
95,0.9813266161928025,0.19764704589206916,interpolated
96,0.9098908659888488,0.2304488073290644,interpolated
97,0.9709919106595096,0.520251153818469,interpolated
98,0.8874776768556298,0.24822494505638923,interpolated
99,0.9460180895431303,0.49189523197755786,interpolated
100,0.9472588834419194,0.25802728250930174,interpolated
101,0.9904628604864071,0.3896369605411515,interpolated
102,0.9327475728674399,0.2430487776911804,interpolated
103,0.8041208655192308,0.48853087754437774,interpolated
104,0.9517549862736866,0.6428380061564338,interpolated
105,0.9823373435325041,0.6263502110302729,interpolated
106,0.7921179421691749,0.3884014769034227,interpolated
107,0.5,,observed
108,0.8891341219218767,0.3358109465395895,interpolated
109,0.5,,observed
110,0.9590707823323501,0.2663848459228563,interpolated
111,0.9355086002818187,0.21785724707627047,interpolated
112,0.9959582735709565,0.18450055135370438,interpolated
113,0.5,,observed
114,0.5,,observed
115,0.9728343375862224,0.3024717418051982,interpolated
116,0.8158422016172354,0.27979735956344864,interpolated
117,0.5,,observed
118,0.5,,observed
119,0.5,,observed
120,0.971168969075539,0.29618351453481456,interpolated
121,0.715447219099765,0.27895211097306094,interpolated
122,0.5,,observed
123,0.9946829157679036,0.22726688254334643,interpolated
124,0.9288259163577074,0.24065324551447986,interpolated
125,0.9690543375784851,0.25003754208013584,interpolated
126,0.5,,observed
127,0.925868108541635,0.2514967855854419,interpolated
128,0.9884313329322033,0.2018230270218278,interpolated
129,0.5,,observed
130,0.5,,observed
131,0.5,,observed
132,0.9837763965684412,0.17804364165262615,interpolated
133,0.9560837204074183,0.24822254856605372,interpolated
134,0.5,,observed
135,0.5,,observed
136,0.7516349202877911,0.24338478418992857,interpolated
137,0.9366635192386319,0.24126908389836518,interpolated
138,0.9970563732296595,0.1481746864517553,interpolated
139,0.5,,observed
140,0.7523679505385937,0.19773996751736617,interpolated
141,0.995070762973821,0.2817758218192099,interpolated
142,0.9911882225795524,0.30609222204155345,interpolated
143,0.8465869294815681,0.33994923203045097,interpolated
144,0.933549657502059,0.30105914288547747,interpolated
145,0.8389050954313543,0.26358772467958813,interpolated
146,0.9920885401034258,0.19633518075464512,interpolated
147,0.5,,observed
148,0.8206590650212444,0.19584482659028948,interpolated
149,0.9985218505865829,0.2578324669579071,interpolated
150,0.9399285058391679,0.34306438807343764,interpolated
151,0.9859130553512353,0.1706127140065711,interpolated
152,0.9791892746778667,0.26285810121827236,interpolated
153,0.9947873870675786,0.3079030492863809,interpolated
154,0.8196992505162097,0.3192992743772446,interpolated
155,0.9804999229180971,0.1785527341503644,interpolated
156,0.9925532197491046,0.2526632781454944,interpolated
157,0.9600400634865137,0.17095058885962278,interpolated
158,0.9715099506176954,0.23012269676603864,interpolated
159,0.7660767225414938,0.21104892035395048,interpolated
160,0.878168042888361,0.23091117522308546,interpolated
161,0.8755169163360191,0.2834177252652099,interpolated
162,0.9238919293773612,0.20677562053126447,interpolated
163,0.9415552672695747,0.2344684762952482,interpolated
164,0.724422977237322,0.3165581799970947,interpolated
165,0.9528080073506435,0.3075157995664625,interpolated
166,0.662146587971867,0.1702953825357818,interpolated
167,0.9436510964182893,0.30089386530979234,interpolated
168,0.9152756013906002,0.19922890368249815,interpolated
169,0.9326489506677259,0.18825521206667561,interpolated
170,0.9448081404806938,0.1965948569231947,interpolated
171,0.9238851589750419,0.18800719081252332,interpolated
172,0.9775920907901684,0.20514487626507572,interpolated
173,0.9189697890606926,0.22783024340447455,interpolated
174,0.5,,observed
175,0.5,,observed
176,0.5,,observed
177,0.5,,observed
178,0.6420307831713008,0.3135488363256491,interpolated
179,0.6994383861085816,0.30501996044260105,interpolated
180,0.9258257199681397,0.3245607837397712,interpolated
181,0.86019191790906,0.21726734360956318,interpolated
182,0.9293288884976315,0.2599825512202585,interpolated
183,0.5,,observed
184,0.5,,observed
185,0.9672668219674047,0.22726612779378347,interpolated
186,0.5,,observed
187,0.9772743004990533,0.19364709236931596,interpolated
188,0.8634072089147852,0.18857662395093036,interpolated
189,0.9733359690340319,0.19950973213950288,interpolated
190,0.5,,observed
191,0.959138312797963,0.23749333333561778,interpolated
192,0.9961299560215605,0.31859569790304904,interpolated
193,0.8835209941156571,0.2186796229529971,interpolated
194,0.919216913964411,0.22878586286864647,interpolated
195,0.5,,observed
