,Weight_image1,Best_objective_value,Observed
109,0.5,,observed
110,0.004546841791728373,0.055539120775736334,interpolated
111,0.9355086002818187,0.03936241173573876,interpolated
112,0.9959582735709565,0.035700908295172536,interpolated
113,0.5,,observed
114,0.5,,observed
115,0.011629473935056645,0.0638870650249549,interpolated
116,0.050846362659042965,0.055169045158057206,interpolated
117,0.5,,observed
118,0.5,,observed
119,0.5,,observed
120,0.014752557775718267,0.05917096585491936,interpolated
121,0.06800117200996858,0.0555416925509002,interpolated
122,0.5,,observed
123,0.9946829157679036,0.04454541793032641,interpolated
124,0.9288259163577074,0.04441479108534467,interpolated
125,0.9690543375784851,0.05152132030804761,interpolated
126,0.5,,observed
127,0.925868108541635,0.048894816328479127,interpolated
128,0.9884313329322033,0.04183450821572753,interpolated
129,0.5,,observed
130,0.5,,observed
131,0.5,,observed
132,0.9837763965684412,0.03316861133256128,interpolated
133,0.9560837204074183,0.05036698130367753,interpolated
134,0.5,,observed
135,0.5,,observed
136,0.05855178425022611,0.051861676404445514,interpolated
137,0.03309357416883907,0.05053869238153043,interpolated
138,0.9970563732296595,0.026350763775305354,interpolated
139,0.5,,observed
140,0.04411671055507571,0.03878055353661061,interpolated
141,0.995070762973821,0.0635482486275805,interpolated
142,0.9911882225795524,0.06567716132652553,interpolated
143,0.09528237213849622,0.06714753215327392,interpolated
144,0.933549657502059,0.05957485548876534,interpolated
145,0.8389050954313543,0.04462558869754302,interpolated
146,0.9920885401034258,0.03795517815007162,interpolated
147,0.5,,observed
148,0.049885527694402576,0.03777730273365503,interpolated
149,0.9985218505865829,0.052155758178431134,interpolated
150,0.02093858163546025,0.07295956698475309,interpolated
151,0.9859130553512353,0.030438801521078276,interpolated
152,0.9791892746778667,0.0511607240757653,interpolated
153,0.9947873870675786,0.06575592314772775,interpolated
154,0.8196992505162097,0.051212442828997666,interpolated
155,0.009246997134326973,0.03340918591656806,interpolated
156,0.9925532197491046,0.04818050471114001,interpolated
157,0.9600400634865137,0.028510577058067345,interpolated
158,0.9715099506176954,0.04384110952387411,interpolated
159,0.040837986515514624,0.03854681564147377,interpolated
160,0.05246186535633601,0.04232637727957937,interpolated
161,0.05211793173511459,0.05460011863343101,interpolated
162,0.9238919293773612,0.03397827774594919,interpolated
163,0.9415552672695747,0.03961410033168641,interpolated
164,0.021478519114804806,0.06912747491061723,interpolated
165,0.0017330638775492346,0.06037384265403585,interpolated
166,0.04932949099861372,0.03008222238565711,interpolated
167,0.9436510964182893,0.052756188192960275,interpolated
